row,field,value,message,suggested_fix
1019,store_name,SOUTH CITY MALL KOLKATA,Store 'SOUTH CITY MALL KOLKATA' not found,Upload store master first or correct store name
1020,store_name,SOUTH CITY MALL KOLKATA,Store 'SOUTH CITY MALL KOLKATA' not found,Upload store master first or correct store name
1021,store_name,SOUTH CITY MALL KOLKATA,Store 'SOUTH CITY MALL KOLKATA' not found,Upload store master first or correct store name
1022,store_name,SOUTH CITY MALL KOLKATA,Store 'SOUTH CITY MALL KOLKATA' not found,Upload store master first or correct store name
1023,store_name,SOUTH CITY MALL KOLKATA,Store 'SOUTH CITY MALL KOLKATA' not found,Upload store master first or correct store name
1024,store_name,SOUTH CITY MALL KOLKATA,Store 'SOUTH CITY MALL KOLKATA' not found,Upload store master first or correct store name
1025,store_name,SOUTH CITY MALL KOLKATA,Store 'SOUTH CITY MALL KOLKATA' not found,Upload store master first or correct store name
1026,store_name,SOUTH CITY MALL KOLKATA,Store 'SOUTH CITY MALL KOLKATA' not found,Upload store master first or correct store name
1027,store_name,SOUTH CITY MALL KOLKATA,Store 'SOUTH CITY MALL KOLKATA' not found,Upload store master first or correct store name
1028,store_name,SOUTH CITY MALL KOLKATA,Store 'SOUTH CITY MALL KOLKATA' not found,Upload store master first or correct store name
1029,store_name,SOUTH CITY MALL KOLKATA,Store 'SOUTH CITY MALL KOLKATA' not found,Upload store master first or correct store name
1030,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1031,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1032,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1033,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1034,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1035,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1036,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1037,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1038,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1039,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1040,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1041,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1042,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1043,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1044,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1045,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
1046,store_name,STATUS RANCHI,Store 'STATUS RANCHI' not found,Upload store master first or correct store name
