buyer_name,vendor_name,sku_code,category,fabric,TOP COLOUR,colour,colour_family,mrp,story,sub_story,SUB STORY 2,store_group_rule,style_risk_group,size,total_buy_qty,ecom_reserved_qty,ars_reserved_qty,expected_first_allocation_qty
David,Design world,CWS6KS11161B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,2XL,0,0,0,0
David,Design world,CWS6KS11161B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,S/M,116,12,36,68
David,Design world,CWS6KS11161B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,(blank),(blank),A+ & A Stores,No Group,L/XL,78,8,25,45
David,Design world,CWS6KS11162A,Kaftan Suit,Chiffon,Green,GREEN,GREEN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,XS,0,0,0,0
David,Design world,CWS6KS11162A,Kaftan Suit,Chiffon,Green,GREEN,GREEN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,S,0,0,0,0
David,Design world,CWS6KS11162A,Kaftan Suit,Chiffon,Green,GREEN,GREEN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,M,0,0,0,0
David,Design world,CWS6KS11162A,Kaftan Suit,Chiffon,Green,GREEN,GREEN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,L,0,0,0,0
David,Design world,CWS6KS11162A,Kaftan Suit,Chiffon,Green,GREEN,GREEN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,XL,0,0,0,0
David,Design world,CWS6KS11162A,Kaftan Suit,Chiffon,Green,GREEN,GREEN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,2XL,0,0,0,0
David,Design world,CWS6KS11162A,Kaftan Suit,Chiffon,Green,GREEN,GREEN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,S/M,312,18,103,191
David,Design world,CWS6KS11162A,Kaftan Suit,Chiffon,Green,GREEN,GREEN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,L/XL,208,12,69,127
David,Design world,CWS6KS11162B,Kaftan Suit,Chiffon,Earth,EARTH,BROWN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,XS,0,0,0,0
David,Design world,CWS6KS11162B,Kaftan Suit,Chiffon,Earth,EARTH,BROWN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,S,0,0,0,0
David,Design world,CWS6KS11162B,Kaftan Suit,Chiffon,Earth,EARTH,BROWN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,M,0,0,0,0
David,Design world,CWS6KS11162B,Kaftan Suit,Chiffon,Earth,EARTH,BROWN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,L,0,0,0,0
David,Design world,CWS6KS11162B,Kaftan Suit,Chiffon,Earth,EARTH,BROWN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,XL,0,0,0,0
David,Design world,CWS6KS11162B,Kaftan Suit,Chiffon,Earth,EARTH,BROWN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,2XL,0,0,0,0
David,Design world,CWS6KS11162B,Kaftan Suit,Chiffon,Earth,EARTH,BROWN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,S/M,312,18,103,191
David,Design world,CWS6KS11162B,Kaftan Suit,Chiffon,Earth,EARTH,BROWN,3498,Chiffon-Printed,Kalamkari,(blank),All Stores,No Group,L/XL,208,12,69,127
David,Design world,CWS6KS11163A,Kaftan Suit,Chiffon,Blue,BLUE,BLUE,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,XS,0,0,0,0
David,Design world,CWS6KS11163A,Kaftan Suit,Chiffon,Blue,BLUE,BLUE,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,S,0,0,0,0
David,Design world,CWS6KS11163A,Kaftan Suit,Chiffon,Blue,BLUE,BLUE,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,M,0,0,0,0
David,Design world,CWS6KS11163A,Kaftan Suit,Chiffon,Blue,BLUE,BLUE,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,L,0,0,0,0
David,Design world,CWS6KS11163A,Kaftan Suit,Chiffon,Blue,BLUE,BLUE,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,XL,0,0,0,0
David,Design world,CWS6KS11163A,Kaftan Suit,Chiffon,Blue,BLUE,BLUE,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,2XL,0,0,0,0
David,Design world,CWS6KS11163A,Kaftan Suit,Chiffon,Blue,BLUE,BLUE,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,S/M,162,12,53,97
David,Design world,CWS6KS11163A,Kaftan Suit,Chiffon,Blue,BLUE,BLUE,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,L/XL,108,8,35,65
David,Design world,CWS6KS11163B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,XS,0,0,0,0
David,Design world,CWS6KS11163B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,S,0,0,0,0
David,Design world,CWS6KS11163B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,M,0,0,0,0
David,Design world,CWS6KS11163B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,L,0,0,0,0
David,Design world,CWS6KS11163B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,XL,0,0,0,0
David,Design world,CWS6KS11163B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,2XL,0,0,0,0
David,Design world,CWS6KS11163B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,S/M,162,12,53,97
David,Design world,CWS6KS11163B,Kaftan Suit,Chiffon,Coral,CORAL,PINK,3498,Chiffon-Printed,Paisley,(blank),"A+, A & B Stores",No Group,L/XL,108,8,35,65
David,Design world,EWA5CD22360A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,XS,0,0,0,0
David,Design world,EWA5CD22360A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,S,0,0,0,0
David,Design world,EWA5CD22360A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,M,0,0,0,0
David,Design world,EWA5CD22360A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,L,0,0,0,0
David,Design world,EWA5CD22360A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,XL,0,0,0,0
David,Design world,EWA5CD22360A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,2XL,0,0,0,0
David,Design world,EWA5CD22360A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,S/M,48,5,15,28
David,Design world,EWA5CD22360A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,L/XL,32,3,10,19
David,Design world,EWA5CD22361A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,XS,0,0,0,0
David,Design world,EWA5CD22361A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,S,0,0,0,0
David,Design world,EWA5CD22361A,Ghagra Choli,Tissue,Beige,BEIGE,NEUTRAL,9998,Mughal,Tissue,(blank),All Stores,No Group,M,0,0,0,0
